_id,keywords[0],keywords[1],keywords[2],response,id,layer,problem,keywords,solution
69b595d3ba92f4eb3eb1ba3f,dns error,dns server not responding,,Flush DNS using command: ipconfig /flushdns,,,,,
69b595d3ba92f4eb3eb1ba40,ethernet not working,lan cable not working,,Check ethernet cable and network adapter.,,,,,
69b595d3ba92f4eb3eb1ba41,slow internet,internet slow,network slow,Check bandwidth usage and restart router.,,,,,
69b595d3ba92f4eb3eb1ba42,internet not working,no internet,cannot access internet,Check router power and restart modem. Verify ISP connection.,,,,,
69b595d3ba92f4eb3eb1ba43,high ping,network latency,,Close background downloads and restart router.,,,,,
69b595d3ba92f4eb3eb1ba44,network adapter missing,adapter not detected,,Reinstall or update network drivers.,,,,,
69b595d3ba92f4eb3eb1ba45,wifi not connecting,cannot connect wifi,wifi issue,Restart router and reconnect to the WiFi network.,,,,,
69b595d3ba92f4eb3eb1ba46,packet loss,network packet loss,,Check network stability and restart modem.,,,,,
69b595d3ba92f4eb3eb1ba47,internet not working,no internet,cannot access internet,Check router power and restart modem. Verify ISP connection.,,,,,
69b595d3ba92f4eb3eb1ba48,network cable unplugged,,,Plug in ethernet cable properly.,,,,,
69b595d3ba92f4eb3eb1ba49,ip address not valid,,,Reset TCP/IP stack using netsh commands.,,,,,
69b595d3ba92f4eb3eb1ba4a,wifi password incorrect,wrong wifi password,,Re-enter correct WiFi password.,,,,,
69b595d3ba92f4eb3eb1ba4b,slow internet,internet slow,network slow,Check bandwidth usage and restart router.,,,,,
69b595d3ba92f4eb3eb1ba4c,internet not working,no internet,cannot access internet,Check router power and restart modem. Verify ISP connection.,,,,,
69b595d3ba92f4eb3eb1ba4d,wifi signal weak,,,Move closer to router or reposition router.,,,,,
69b595d3ba92f4eb3eb1ba4e,unable to obtain ip address,dhcp problem,,Restart router and enable DHCP service.,,,,,
69b595d3ba92f4eb3eb1ba4f,packet loss,network packet loss,,Check network stability and restart modem.,,,,,
69b595d3ba92f4eb3eb1ba50,slow internet,internet slow,network slow,Check bandwidth usage and restart router.,,,,,
69b595d3ba92f4eb3eb1ba51,slow internet,internet slow,network slow,Check bandwidth usage and restart router.,,,,,
